id,municipios,bairros_ibge,setores,pop,domicilios,criancas_0_14,jovens_15_29,renda_media_resp,pct_fcu,pct_preta_parda,sem_fundamental_25_2010,desocupacao_2010,comunidades_fcu,unidade_mais_proxima,dist_km,loja_venda_mais_proxima,dist_venda_km,lat,lon
43,Porto Alegre,Camaquã,2,1061,385,221,279,1711.93,100,41.89,18.31,4.33,Vila São Vicente Mártir,SH Barrasul,2.21,SH Barrasul,2.21,-30.11,-51.24
44,Canoas,Mato Grande,1,986,328,250,250,1738.53,0,30.36,41.82,6.14,,CC Canoas,2.33,CC Canoas,2.33,-29.93,-51.2
45,Porto Alegre,Arquipélago,1,974,337,226,245,1615.56,0,29.91,42.82,7.92,,LJ Otávio Rocha,2.69,LJ Otávio Rocha,2.69,-30.03,-51.25
46,Porto Alegre,Floresta,2,972,291,285,307,1220.58,0,51.34,13.52,4.68,,SH Total,1.03,SH Total,1.03,-30.02,-51.21
47,Porto Alegre,Morro Santana,1,901,308,226,217,1708.22,0,42.73,43.87,5.86,,Loja Adm Porto Alegre,4.41,SH Iguatemi POA,5.12,-30.05,-51.11
48,Porto Alegre,Vila Jardim | Jardim Europa,4,892,354,177,182,1560.45,64.13,50.22,35.32,7.49,Beco São Leopoldo | Beco da Aquiles | Beco Vila da Paz,SH Iguatemi POA,0.98,SH Iguatemi POA,0.98,-30.03,-51.16
49,Sapucaia do Sul,,1,884,314,260,245,1484.94,100,40.27,44.78,7.87,Ocupação Mariele,LJ Sapucaia do Sul,1.67,LJ Sapucaia do Sul,1.67,-29.81,-51.16
50,Porto Alegre,Vila Nova,2,873,308,179,237,1832.31,28.75,40.21,31.13,7.37,Morro da Guampa,SH Bourbon Teresópolis,4.89,SH Bourbon Teresópolis,4.89,-30.12,-51.2
51,Gravataí,,2,852,313,156,184,1757.21,0,33.69,41,8.29,,SH do Vale,3.81,SH do Vale,3.81,-29.91,-51.05
52,Porto Alegre,Arquipélago,1,834,318,187,218,1817.89,0,27.13,42.82,7.92,,LJ Otávio Rocha,4.53,LJ Otávio Rocha,4.53,-30,-51.26
53,Cachoeirinha,,1,775,278,153,211,1837.84,0,30.23,43.79,7.08,,SH do Vale,3.45,SH do Vale,3.45,-29.95,-51.11
54,Sapucaia do Sul,,2,756,285,120,151,1834.43,0,17.72,49.18,7.91,,LJ Sapucaia do Sul,0.86,LJ Sapucaia do Sul,0.86,-29.83,-51.14
55,Sapucaia do Sul,,2,752,266,166,186,1690.86,0,27.39,44.78,7.87,,LJ Sapucaia do Sul,4.69,LJ Sapucaia do Sul,4.69,-29.8,-51.19
56,Porto Alegre,Nonoai,2,736,276,191,163,1748.56,100,59.92,21.08,5.75,Vila Alto Erechim | Vila Chácara Sperb,SH Bourbon Teresópolis,2.08,SH Bourbon Teresópolis,2.08,-30.09,-51.21
57,Guaíba,Columbia City,2,717,278,129,148,1597.65,29.71,10.6,47.43,6.62,Núcleo Bayer,LJ Guaíba,3.99,LJ Guaíba,3.99,-30.13,-51.35
58,Porto Alegre,Humaitá,2,700,207,245,183,1229.72,100,54.58,42.82,7.92,Santo André,Aero Salgado Filho,2.63,SH Bourbon Wallig,4.75,-29.97,-51.18
59,Gravataí,,1,664,237,160,163,1738.48,0,25.83,45.03,7.98,,SH do Vale,3.56,SH do Vale,3.56,-29.92,-51.04
60,Sapucaia do Sul,,1,661,252,131,134,1616.35,0,24.96,44.78,7.87,,LJ Sapucaia do Sul,3.31,LJ Sapucaia do Sul,3.31,-29.81,-51.18
61,Gravataí,,1,647,221,118,145,1546.27,0,41.8,41.69,6.99,,SH Gravataí,4.16,SH Gravataí,4.16,-29.94,-50.95
62,Porto Alegre,Partenon,1,630,185,178,186,1423.8,100,52.54,39.52,9.38,Vila São Pedro,SH Bourbon Ipiranga,0.2,SH Bourbon Ipiranga,0.2,-30.06,-51.19
63,Canoas,Mato Grande,1,610,205,152,160,1920.3,0,29.44,41.82,6.14,,SH Canoas,2.94,SH Canoas,2.94,-29.92,-51.21
64,Gravataí,,1,606,259,97,100,1749.67,0,5.94,44.32,8.83,,SH do Vale,2,SH do Vale,2,-29.94,-51.06
65,Gravataí,,1,603,215,116,116,1902.75,0,26.53,44.03,7.8,,SH Gravataí,3.48,SH Gravataí,3.48,-29.94,-51.03
66,Porto Alegre,Glória,2,578,230,115,140,1705.57,0,51.56,40.2,6.46,,SH Bourbon Teresópolis,2.19,SH Bourbon Teresópolis,2.19,-30.09,-51.19
67,Guaíba,Ermo,1,566,214,99,144,1364.75,100,26.15,34.96,7.94,Chega Mais,LJ Guaíba,1.85,LJ Guaíba,1.85,-30.12,-51.32
68,Porto Alegre,Vila Conceição | Sétimo Céu,2,560,206,116,132,1551.94,72.5,53.04,18.31,4.33,Vila Santa Bárbara,SH Barrasul,3.9,SH Barrasul,3.9,-30.12,-51.25
69,Gravataí,,1,526,184,115,139,1509.88,0,44.3,44.03,7.8,,SH Gravataí,1.88,SH Gravataí,1.88,-29.95,-51.02
70,Gravataí,,1,525,214,83,107,1576.39,0,15.62,42.19,6.04,,SH Gravataí,3.36,SH Gravataí,3.36,-29.93,-51.02
71,Sapucaia do Sul,,1,506,178,153,126,1454.92,0,35.18,57.14,6.49,,LJ Sapucaia do Sul,3.78,LJ Sapucaia do Sul,3.78,-29.83,-51.11
72,Porto Alegre,Navegantes,1,493,151,151,127,1449.34,0,43.7,42.82,7.92,,Aero Salgado Filho,2.81,SH Total,3.53,-30,-51.21
